ID,Side,Entry Time,Exit Time,Entry Price,Exit Price,PnL,Balance Before,Balance After,Reason
1,LONG,2025-12-31 20:00:00,2025-12-31 22:00:00,87959.26,87849.89,-144.53,1000.00,855.47,Price (87959.26) broke High (87846.51) with Vol: 9014110
2,LONG,2026-01-01 06:00:00,2026-01-01 08:00:00,88020.00,87918.72,-136.47,855.47,719.00,Price (88020.00) broke High (87895.42) with Vol: 6906357
3,LONG,2026-01-01 12:00:00,2026-01-02 08:00:00,88320.00,89343.98,988.45,719.00,1707.45,Price (88320.00) broke High (88044.65) with Vol: 19175965
4,LONG,2026-01-02 11:00:00,2026-01-02 13:00:00,90370.45,89762.85,-643.63,1707.45,1063.82,Price (90370.45) broke High (89886.35) with Vol: 45959590
5,LONG,2026-01-02 17:00:00,2026-01-02 18:00:00,90187.53,89987.72,-235.85,1063.82,827.98,Price (90187.53) broke High (90173.30) with Vol: 13856046
6,LONG,2026-01-02 21:00:00,2026-01-02 23:00:00,90326.37,90168.58,-193.89,827.98,634.09,Price (90326.37) broke High (90289.11) with Vol: 7860015
7,LONG,2026-01-03 07:00:00,2026-01-04 01:00:00,90022.76,91223.67,1164.66,634.09,1798.75,Price (90022.76) broke High (89773.61) with Vol: 15764853
8,LONG,2026-01-04 05:00:00,2026-01-04 06:00:00,91595.00,91300.77,-330.81,1798.75,1467.94,Price (91595.00) broke High (91470.00) with Vol: 9282940
9,LONG,2026-01-04 18:00:00,2026-01-04 23:00:00,91530.78,92597.23,1029.62,1467.94,2497.56,Price (91530.78) broke High (91398.42) with Vol: 17018815
10,LONG,2026-01-05 09:00:00,2026-01-05 18:00:00,93420.00,93860.89,403.43,2497.56,2901.00,Price (93420.00) broke High (93007.45) with Vol: 42435366
11,LONG,2026-01-06 04:00:00,2026-01-06 08:00:00,93465.27,93720.62,217.91,2901.00,3118.91,Price (93465.27) broke High (93429.99) with Vol: 17650002
12,LONG,2026-01-06 15:00:00,2026-01-06 19:00:00,92516.15,92720.02,166.82,3118.91,3285.73,Price (92516.15) broke High (92357.14) with Vol: 13373864
13,LONG,2026-01-06 21:00:00,2026-01-06 23:00:00,92959.85,92671.86,-325.12,3285.73,2960.62,Price (92959.85) broke High (92909.19) with Vol: 13110444
14,LONG,2026-01-08 11:00:00,2026-01-08 14:00:00,90933.85,90932.16,-38.06,2960.62,2922.55,Price (90933.85) broke High (90840.00) with Vol: 35650045
15,LONG,2026-01-08 16:00:00,2026-01-09 02:00:00,91263.64,90741.82,-558.22,2922.55,2364.33,Price (91263.64) broke High (90996.13) with Vol: 13480853
16,LONG,2026-01-09 08:00:00,2026-01-09 09:00:00,90600.01,90149.28,-486.88,2364.33,1877.45,Price (90600.01) broke High (90597.21) with Vol: 32862497
17,LONG,2026-01-09 10:00:00,2026-01-09 13:00:00,91178.82,90816.47,-398.75,1877.45,1478.70,Price (91178.82) broke High (90679.99) with Vol: 66361641
18,LONG,2026-01-10 02:00:00,2026-01-10 06:00:00,90679.99,90725.70,9.43,1478.70,1488.13,Price (90679.99) broke High (90605.00) with Vol: 7709645
19,LONG,2026-01-10 19:00:00,2026-01-11 13:00:00,90644.21,90883.71,203.19,1488.13,1691.33,Price (90644.21) broke High (90570.68) with Vol: 5970469
20,LONG,2026-01-11 18:00:00,2026-01-12 01:00:00,91013.18,91834.47,784.72,1691.33,2476.05,Price (91013.18) broke High (90757.76) with Vol: 25882199
21,LONG,2026-01-12 09:00:00,2026-01-12 12:00:00,90905.13,91512.32,570.71,2476.05,3046.75,Price (90905.13) broke High (90829.83) with Vol: 37324278
22,LONG,2026-01-12 19:00:00,2026-01-12 20:00:00,91480.67,91186.57,-330.63,3046.75,2716.12,Price (91480.67) broke High (91315.71) with Vol: 15538142
23,LONG,2026-01-12 22:00:00,2026-01-13 06:00:00,91414.71,92002.13,550.74,2716.12,3266.86,Price (91414.71) broke High (91383.00) with Vol: 17715403
24,LONG,2026-01-13 10:00:00,2026-01-13 16:00:00,93457.25,94065.05,570.30,3266.86,3837.15,Price (93457.25) broke High (92907.00) with Vol: 66910593
25,LONG,2026-01-13 17:00:00,2026-01-13 23:00:00,95743.23,95234.78,-546.65,3837.15,3290.51,Price (95743.23) broke High (94498.10) with Vol: 84871415
26,LONG,2026-01-14 02:00:00,2026-01-14 06:00:00,95207.38,94798.71,-446.67,3290.51,2843.83,Price (95207.38) broke High (95028.44) with Vol: 23563484
27,LONG,2026-01-14 09:00:00,2026-01-14 17:00:00,96481.05,96875.70,355.98,2843.83,3199.81,Price (96481.05) broke High (95244.21) with Vol: 80266775
28,LONG,2026-01-15 02:00:00,2026-01-15 06:00:00,96639.98,96595.48,-83.15,3199.81,3116.67,Price (96639.98) broke High (96580.00) with Vol: 18739192
29,LONG,2026-01-15 07:00:00,2026-01-15 09:00:00,96985.66,96074.09,-950.18,3116.67,2166.48,Price (96985.66) broke High (96929.23) with Vol: 13364279
30,LONG,2026-01-16 15:00:00,2026-01-16 20:00:00,95558.62,95395.97,-200.84,2166.48,1965.64,Price (95558.62) broke High (95057.69) with Vol: 20501819
